,month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall
390,2014-07,29.0,15.0,148.6
391,2014-08,44.2,20.0,241.0
392,2014-09,34.6,9.0,83.6
393,2014-10,32.8,10.0,120.0
394,2014-11,64.4,23.0,250.8
395,2014-12,48.2,17.0,245.6
396,2015-01,33.6,6.0,79.6
397,2015-02,10.8,6.0,18.8
398,2015-03,46.0,5.0,84.4
399,2015-04,18.8,13.0,73.2
400,2015-05,22.2,12.0,89.0
401,2015-06,28.4,10.0,95.8
402,2015-07,45.8,13.0,116.8
403,2015-08,63.2,11.0,185.8
404,2015-09,18.4,8.0,61.6
405,2015-10,28.6,9.0,87.2
406,2015-11,25.8,13.0,72.6
407,2015-12,40.4,19.0,302.3
408,2016-01,39.6,15.0,126.6
409,2016-02,71.8,10.0,186.0
410,2016-03,2.4,6.0,6.2
411,2016-04,18.2,14.0,89.8
412,2016-05,54.8,12.0,193.8
413,2016-06,67.8,13.0,162.8
414,2016-07,59.4,20.0,168.6
415,2016-08,30.6,15.0,139.2
416,2016-09,34.0,15.0,118.9
417,2016-10,75.4,16.0,181.0
418,2016-11,65.6,20.0,290.2
419,2016-12,73.0,23.0,292.6
420,2017-01,60.6,21.0,197.6
421,2017-02,31.0,15.0,158.4
422,2017-03,30.2,11.0,136.2
423,2017-04,42.8,21.0,208.6
424,2017-05,44.8,15.0,190.0
425,2017-06,29.6,10.0,106.0
426,2017-07,30.2,9.0,79.6
427,2017-08,29.4,18.0,84.2
428,2017-09,20.2,19.0,124.4
429,2017-10,31.2,18.0,120.8
430,2017-11,45.2,24.0,268.6
431,2017-12,69.8,23.0,371.2
432,2018-01,45.8,25.0,287.0
433,2018-02,13.0,5.0,14.8
434,2018-03,15.2,10.0,44.6
435,2018-04,14.0,14.0,61.2
436,2018-05,47.4,19.0,132.2
437,2018-06,46.8,17.0,182.6
438,2018-07,32.4,10.0,143.2
439,2018-08,34.6,11.0,121.6
440,2018-09,45.0,13.0,144.4
441,2018-10,60.6,18.0,234.4
442,2018-11,20.6,27.0,169.6
443,2018-12,43.8,19.0,172.6
444,2019-01,38.2,9.0,63.6
445,2019-02,13.4,5.0,31.6
446,2019-03,29.0,6.0,72.2
447,2019-04,52.4,9.0,174.8
448,2019-05,17.2,13.0,69.0
449,2019-06,37.6,16.0,173.8
450,2019-07,6.6,8.0,12.2
451,2019-08,3.8,6.0,11.8
452,2019-09,16.4,4.0,22.8
453,2019-10,92.2,15.0,176.8
454,2019-11,73.4,15.0,137.4
455,2019-12,74.2,14.0,421.5
456,2020-01,38.0,6.0,88.4
457,2020-02,23.8,8.0,65.0
458,2020-03,47.4,8.0,108.8
459,2020-04,51.8,12.0,188.0
460,2020-05,53.8,16.0,255.6
461,2020-06,41.0,21.0,233.8
462,2020-07,30.4,22.0,140.8
463,2020-08,34.6,12.0,103.4
464,2020-09,32.8,18.0,150.2
465,2020-10,19.0,16.0,78.8
466,2020-11,64.2,19.0,220.6
467,2020-12,58.2,20.0,253.2
468,2021-01,210.6,17.0,692.8
469,2021-02,0.6,2.0,1.0
470,2021-03,38.0,14.0,182.4
